0000	0000
0151	006F
0154	0052
0155	0072
0156	0052
0157	0072
0158	0052
0159	0072
015A	0053
015B	0073
015C	0053
015D	0073
015E	0053
015F	0073
0160	0053
0161	0073
0162	0054
0163	0074
0164	0054
0165	0074
0166	0054
0167	0074
0168	0055
0169	0075
016A	0055
016B	0075
016C	0055
016D	0075
016E	0055
016F	0075
0170	0055
0171	0075
0172	0055
0173	0075
0174	0057
0175	0077
0176	0059
0177	0079
0178	0059
0179	005A
017A	007A
017B	005A
017C	007A
017D	005A
017E	007A
0180	0062
0191	0192
0192	0192
0197	0049
019A	006C
019F	004F
01A0	004F
01A1	006F
01AB	0074
01AE	0054
01AF	0055
01B0	0075
01CD	0041
01CE	0061
01CF	0049
01D0	0069
01D1	004F
01D2	006F
01D3	0055
01D4	0075
01D5	0055
01D6	0075
01D7	0055
01D8	0075
01D9	0055
01DA	0075
01DB	0055
01DC	0075
01DE	0041
01DF	0061
01E4	0047
01E5	0067
01E6	0047
01E7	0067
01E8	004B
01E9	006B
01EA	004F
01EB	006F
01EC	004F
01ED	006F
01F0	006A
030D	0384
037E	003B
0384	0384
0385	0385
0386	0386
0388	0388
0389	0389
038A	038A
038C	038C
038E	038E
038F	038F
0390	0390
0391	0391
0392	0392
0393	0393
0394	0394
0395	0395
0396	0396
0397	0397
0398	0398
0399	0399
039A	039A
039B	039B
039C	039C
039D	039D
039E	039E
039F	039F
03A0	03A0
03A1	03A1
03A3	03A3
03A4	03A4
03A5	03A5
03A6	03A6
03A7	03A7
03A8	03A8
03A9	03A9
03AA	03AA
03AB	03AB
03AC	03AC
03AD	03AD
03AE	03AE
03AF	03AF
03B0	03B0
03B1	03B1
03B2	03B2
03B3	03B3
03B4	03B4
03B5	03B5
03B6	03B6
03B7	03B7
03B8	03B8
03B9	03B9
03BA	03BA
03BB	03BB
03BC	03BC
03BD	03BD
03BE	03BE
03BF	03BF
03C0	03C0
03C1	03C1
03C2	03C2
03C3	03C3
03C4	03C4
03C5	03C5
03C6	03C6
03C7	03C7
03C8	03C8
03C9	03C9
03CA	03CA
03CB	03CB
03CC	03CC
03CD	03CD
03CE	03CE
2013	2013
2014	2014
2015	2015
2018	2018
2019	2019
201A	201A
201C	201C
201D	201D
201E	201E
2020	2020
2021	2021
2022	2022
2026	2026
2030	2030
2039	2039
203A	203A
203C	0021
20AC	20AC
2122	2122
2190	003C
2191	005E
2192	003E
2193	0076
2194	002D
2195	00A6
21A8	00A6
221F	004C
2302	00A6
2500	002D
2502	00A6
250C	002D
2510	00AC
2514	004C
2518	002D
251C	002B
2524	002B
252C	0054
2534	002B
253C	002B
2550	003D
2551	00A6
2554	002D
2557	00AC
255A	004C
255D	002D
2560	00A6
2563	00A6
2566	0054
2569	00A6
256C	002B
2580	002D
2584	002D
2588	002D
2591	002D
2592	002D
2593	002D
25A0	00A6
25AC	002D
25B2	005E
25BA	003E
25BC	0385
25C4	003C
25CB	0030
25D8	2022
25D9	0030
263A	004F
263B	004F
263C	0030
2640	002B
2642	003E
2660	00A6
2663	00A6
2665	00A6
2666	00A6
266A	0064
266B	0064
F8F9	F8F9
F8FA	F8FA
F8FB	F8FB
FF01	0021
FF02	0022
FF03	0023
FF04	0024
FF05	0025
FF06	0026
FF07	0027
FF08	0028
FF09	0029
FF0A	002A
FF0B	002B
FF0C	002C
FF0D	002D
FF0E	002E
FF0F	002F
FF10	0030
FF11	0031
FF12	0032
FF13	0033
FF14	0034
FF15	0035
FF16	0036
FF17	0037
FF18	0038
FF19	0039
FF1A	003A
FF1B	003B
FF1C	003C
FF1D	003D
FF1E	003E
FF1F	003F
FF20	0040
FF21	0041
FF22	0042
FF23	0043
FF24	0044
FF25	0045
FF26	0046
FF27	0047
FF28	0048
FF29	0049
FF2A	004A
FF2B	004B
FF2C	004C
FF2D	004D
FF2E	004E
FF2F	004F
FF30	0050
FF31	0051
FF32	0052
FF33	0053
FF34	0054
FF35	0055
FF36	0056
FF37	0057
FF38	0058
FF39	0059
FF3A	005A
FF3B	005B
FF3C	005C
FF3D	005D
FF3E	005E
FF3F	005F
FF40	0060
FF41	0061
FF42	0062
FF43	0063
FF44	0064
FF45	0065
FF46	0066
FF47	0067
FF48	0068
FF49	0069
FF4A	006A
FF4B	006B
FF4C	006C
FF4D	006D
FF4E	006E
FF4F	006F
FF50	0070
FF51	0071
FF52	0072
FF53	0073
FF54	0074
FF55	0075
FF56	0076
FF57	0077
FF58	0078
FF59	0079
FF5A	007A
FF5B	007B
FF5C	007C
FF5D	007D
FF5E	007E
